chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
แนะนำ THAI MOOC,1,1,"Name: แนะนำ THAI MOOC<br>
Video Length: 105 sec",แนะนำ THAI MOOC,105,2,1,เนื้อหาวิชา,5,1,Hello World,13,1,"Name: แบบทดสอบก่อนเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบก่อนเรียน,Multiple Choice Problem,7,1
เริ่มต้นก่อนเรียนรู้,3,1,"Name: แนะนำบทเรียน<br>
Video Length: 100 sec",แนะนำบทเรียน,100,4,1,Hello World,13,1,,,,"Name: Exercise 1 : แบบทดสอบหลังเรียนที่ 1<br>
Problem Type: Multiple Choice Problem",Exercise 1 : แบบทดสอบหลังเรียนที่ 1,Multiple Choice Problem,35,1
แบบทดสอบก่อนเรียน,6,1,"Name: เกริ่นนำ พื้นฐานการทำงานของเว็บไซต์บนเครือข่ายอินเทอร์เน็ต<br>
Video Length: 69 sec",เกริ่นนำ พื้นฐานการทำงานของเว็บไซต์บนเครือข่ายอินเทอร์เน็ต,69,9,1,แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),98,1,,,,"Name: Exercise 2 : แบบทดสอบหลังเรียนที่ 2<br>
Problem Type: Multiple Choice Problem",Exercise 2 : แบบทดสอบหลังเรียนที่ 2,Multiple Choice Problem,37,1
พื้นฐานการทำงานของเว็บไซต์บนเครือข่ายอินเทอร์เน็ต,8,1,"Name: พื้นฐานของ World Wide Web<br>
Video Length: 348 sec",พื้นฐานของ World Wide Web,348,10,1,,,,,,,"Name: Exercise 3 : แบบทดสอบหลังเรียนที่ 3<br>
Problem Type: Multiple Choice Problem",Exercise 3 : แบบทดสอบหลังเรียนที่ 3,Multiple Choice Problem,66,1
มาตรฐาน HTML,14,1,"Name: การเตรียมเครื่องมือ<br>
Video Length: 292 sec",การเตรียมเครื่องมือ,292,11,1,,,,,,,"Name: Exercise 4 : แบบทดสอบหลังเรียนที่ 4<br>
Problem Type: Multiple Choice Problem",Exercise 4 : แบบทดสอบหลังเรียนที่ 4,Multiple Choice Problem,68,1
Exercise 1 : แบบทดสอบหลังเรียนที่ 1,34,1,"Name: สรุป พื้นฐานการทำงานของเว็บไซต์บนเครือข่ายอินเทอร์เน็ต<br>
Video Length: 46 sec",สรุป พื้นฐานการทำงานของเว็บไซต์บนเครือข่ายอินเทอร์เน็ต,46,12,1,,,,,,,"Name: Exercise 5 : แบบทดสอบหลังเรียนที่ 4<br>
Problem Type: Checkbox Problem",Exercise 5 : แบบทดสอบหลังเรียนที่ 4,Checkbox Problem,94,1
Exercise 2 : แบบทดสอบหลังเรียนที่ 2,36,1,"Name: เกริ่นนำ มาตรฐาน HTML<br>
Video Length: 50 sec",เกริ่นนำ มาตรฐาน HTML,50,15,1,,,,,,,"Name: แบบทดสอบหลังเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบหลังเรียน,Multiple Choice Problem,96,1
มาตรฐาน CSS,38,1,"Name: โครงสร้างเอกสารและไวยากรณ์ HTML (1)<br>
Video Length: 508 sec",โครงสร้างเอกสารและไวยากรณ์ HTML (1),508,16,1,,,,,,,,,,,
Style,50,1,"Name: โครงสร้างเอกสารและไวยากรณ์ HTML (2)<br>
Video Length: 506 sec",โครงสร้างเอกสารและไวยากรณ์ HTML (2),506,17,1,,,,,,,,,,,
Exercise 3 : แบบทดสอบหลังเรียนที่ 3,65,1,"Name: Encoding ของอักขระใน Web Page<br>
Video Length: 450 sec",Encoding ของอักขระใน Web Page,450,18,1,,,,,,,,,,,
