chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
แนะนำโครงการ ThaiMOOC,1,1,"Name: โครงการ ThaiMOOC<br>
Video Length: 105 sec",โครงการ ThaiMOOC,105,2,1,แนะนำรายวิชา,4,1,รู้จักเพื่อนในชั้นเรียน,7,1,"Name: แบบทดสอบก่อนเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบก่อนเรียน,Multiple Choice Problem,8,1
แนะนำรายวิชา,3,1,"Name: HU003 1-1<br>
Video Length: 666 sec",HU003 1-1,666,12,1,แบบสอบถามก่อนเรียน,5,1,,,,"Name: แบบทดสอบหลังบทเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบหลังบทเรียน,Multiple Choice Problem,18,1
บทที่ 1: หลักการทำงาน ของคอมพิวเตอร์และองค์ประกอบต่างๆ,9,1,"Name: HU003 1-2<br>
Video Length: 476 sec",HU003 1-2,476,14,1,โครงสร้างเนื้อหา,6,1,,,,"Name: แบบทดสอบหลังบทเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบหลังบทเรียน,Multiple Choice Problem,28,1
บทที่ 2: การประกอบเครื่องคอมพิวเตอร์,19,1,"Name: HU003 1-3<br>
Video Length: 542 sec",HU003 1-3,542,16,1,รู้จักเพื่อนในชั้นเรียน,7,1,,,,"Name: แบบทดสอบหลังเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบหลังเรียน,Multiple Choice Problem,38,1
บทที่ 3: การติดตั้งซอฟต์แวร์ระบบและซอฟต์แวร์ประยุกต์,29,1,"Name: HU003 2-1<br>
Video Length: 426 sec",HU003 2-1,426,22,1,เกริ่นนำเข้าสู่บทเรียน,10,1,,,,"Name: แบบทดสอบหลังบทเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบหลังบทเรียน,Multiple Choice Problem,48,1
บทที่ 4: การตรวจสอบและวิเคราะห์ปัญหาข้อขัดข้องของเครื่องคอมพิวเตอร์และซอฟต์แวร์ และวิธีแก้ไข,39,1,"Name: HU003 2-2<br>
Video Length: 962 sec",HU003 2-2,962,24,1,หลักการทำงานของคอมพิวเตอร์ 1,11,1,,,,"Name: แบบทดสอบหลังบทเรียน<br>
Problem Type: Multiple Choice Problem",แบบทดสอบหลังบทเรียน,Multiple Choice Problem,58,1
บทที่ 5: การบำรุงและดูแลรักษาเครื่องคอมพิวเตอร์และอุปกรณ์ต่อพ่วงต่าง ๆ,49,1,"Name: HU003 2-3<br>
Video Length: 435 sec",HU003 2-3,435,26,1,หลักการทำงานของคอมพิวเตอร์ 2,13,1,,,,"Name: สอบประมวลความรู้<br>
Problem Type: Multiple Choice Problem",สอบประมวลความรู้,Multiple Choice Problem,60,1
Final Exam: สอบวัดประมวลความรู้,59,1,"Name: HU003 3-1<br>
Video Length: 1020 sec",HU003 3-1,1020,32,1,องค์ประกอบของคอมพิวเตอร์,15,1,,,,,,,,
แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),61,1,"Name: HU003 3-2<br>
Video Length: 678 sec",HU003 3-2,678,34,1,สรุปบทเรียน,17,1,,,,,,,,
,,,"Name: HU003 3-3<br>
Video Length: 682 sec",HU003 3-3,682,36,1,เกริ่นนำเข้าสู่บทเรียน,20,1,,,,,,,,
,,,"Name: HU003 4-1<br>
Video Length: 737 sec",HU003 4-1,737,42,1,ส่วนประกอบของเครื่องคอมพิวเตอร์,21,1,,,,,,,,
,,,"Name: HU003 4-2<br>
Video Length: 483 sec",HU003 4-2,483,44,1,ขั้นตอนการประกอบเครื่องคอมพิวเตอร์,23,1,,,,,,,,
,,,"Name: HU003 4-3<br>
Video Length: 528 sec",HU003 4-3,528,46,1,การเชื่อมต่ออุปกรณ์ต่อพ่วง,25,1,,,,,,,,
,,,"Name: HU003 5-1<br>
Video Length: 454 sec",HU003 5-1,454,52,1,สรุปบทเรียน,27,1,,,,,,,,
,,,"Name: HU003 5-2<br>
Video Length: 602 sec",HU003 5-2,602,54,1,เกริ่นนำเข้าสู่บทเรียน,30,1,,,,,,,,
,,,"Name: HU003 5-3<br>
Video Length: 620 sec",HU003 5-3,620,56,1,การตั้งค่าไบออสและเตรียมความพร้อม,31,1,,,,,,,,
,,,,,,,,การติดตั้งระบบปฏิบัติการเข้าสู่เครื่องคอมพิวเตอร์,33,1,,,,,,,,
,,,,,,,,การติดตั้งซอฟต์แวร์ประยุกต์เข้าสู่เครื่องคอมพิวเตอร์,35,1,,,,,,,,
,,,,,,,,สรุปบทเรียน,37,1,,,,,,,,
,,,,,,,,เกริ่นนำเข้าสู่บทเรียน,40,1,,,,,,,,
,,,,,,,,การตรวจสอบและการวิเคราะห์ปัญหาข้อขัดข้องทางฮาร์ดแวร์และวิธีแก้ไข,41,1,,,,,,,,
,,,,,,,,การตรวจสอบและการวิเคราะห์ปัญหาข้อขัดข้องทางซอฟต์แวร์และวิธีแก้ไข,43,1,,,,,,,,
,,,,,,,,การตรวจสอบและการวิเคราะห์ปัญหาข้อขัดข้องที่เกิดจากตัวผู้ใช้และวิธีแก้ไข,45,1,,,,,,,,
,,,,,,,,สรุปบทเรียน,47,1,,,,,,,,
,,,,,,,,เกริ่นนำเข้าสู่บทเรียน,50,1,,,,,,,,
,,,,,,,,การบำรุงและการดูแลรักษาเครื่องคอมพิวเตอร์,51,1,,,,,,,,
,,,,,,,,การบำรุงและการดูแลรักษาอุปกรณ์ต่อพ่วง 1,53,1,,,,,,,,
,,,,,,,,การบำรุงและการดูแลรักษาอุปกรณ์ต่อพ่วง 2,55,1,,,,,,,,
,,,,,,,,สรุปบทเรียน,57,1,,,,,,,,
,,,,,,,,แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),62,1,,,,,,,,
