chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
แนะนำโครงการ Thai MOOC,1,1,"Name: Video แนะนำโครงการ Thai Mooc<br>
Video Length: 105 sec",Video แนะนำโครงการ Thai Mooc,105,2,1,แบบสำรวจก่อนเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),4,1,มาทำความรู้จักเพื่อนร่วมเรียนกัน,6,1,"Name: แบบทดสอบความรู้เบื้องต้นก่อนเรียน บทที่ 1-7<br>
Problem Type: Numerical Input Problem",แบบทดสอบความรู้เบื้องต้นก่อนเรียน บทที่ 1-7,Numerical Input Problem,7,1
0: แนะนำวิชา,3,1,"Name: แนะนำรายวิชา ฟิสิกส์ทั่วไป I<br>
Video Length: 279 sec",แนะนำรายวิชา ฟิสิกส์ทั่วไป I,279,5,1,แนะนำรายวิชา ฟิสิกส์ทั่วไป I,5,1,"กิจกรรม: Discussion ""ทำไมไม่ตกที่เดียวกัน""",77,1,"Name: แบบฝึกหัดท้ายบทที่ 1 (หลักการวัดและเลขนัยสำคัญ)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 1 (หลักการวัดและเลขนัยสำคัญ),Numerical Input Problem,14,1
บทที่ 1: หลักการวัดและเลขนัยสำคัญ,9,1,"Name: แนะนำบทที่ 1<br>
Video Length: 468 sec",แนะนำบทที่ 1,468,10,1,แบบทดสอบความรู้เบื้องต้นก่อนเรียน บทที่ 1-7,7,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 2<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 2,Numerical Input Problem,39,1
บทที่ 2: เวกเตอร์และแคลคูลัสเบื้องต้น,16,1,"Name: การเปลี่ยนหน่วยกับเลขนัยสำคัญ<br>
Video Length: 538 sec",การเปลี่ยนหน่วยกับเลขนัยสำคัญ,538,11,1,เฉลยแบบทดสอบความรู้เบื้องต้นก่อนเริ่มเรียน บทที่ 1-7,8,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 3<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 3,Numerical Input Problem,53,1
บทที่ 3: การเคลื่อนที่ใน 1 มิติ,44,1,"Name: การบวก ลบ เลขนัยสำคัญ<br>
Video Length: 362 sec",การบวก ลบ เลขนัยสำคัญ,362,12,1,แบบฝึกหัดท้ายบทที่ 1 (หลักการวัดและเลขนัยสำคัญ),14,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 4<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 4,Numerical Input Problem,78,1
บทที่ 4: การเคลื่อนที่ในสองมิติ,56,1,"Name: การคูณ หาร เลขนัยสำคัญ<br>
Video Length: 198 sec",การคูณ หาร เลขนัยสำคัญ,198,13,1,เอกสารประกอบการเรียนบทที่ 1,15,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 5 (แรงและกฎการเคลื่อนที่ของนิวตัน)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 5 (แรงและกฎการเคลื่อนที่ของนิวตัน),Numerical Input Problem,99,1
บทที่ 5: แรง และกฎการเคลื่อนที่ของนิวตัน,82,1,"Name: แนะนำบทที่ 2 และสัญลักษณ์แทนปริมาณเวกเตอร์<br>
Video Length: 430 sec",แนะนำบทที่ 2 และสัญลักษณ์แทนปริมาณเวกเตอร์,430,17,1,แบบฝึกหัดท้ายบทที่ 2,39,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 6 (งานและพลังงาน)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 6 (งานและพลังงาน),Numerical Input Problem,118,1
บทที่ 6: งาน และพลังงาน,102,1,"Name: การบวก ลบ เวกเตอร์<br>
Video Length: 395 sec",การบวก ลบ เวกเตอร์,395,18,1,เฉลยแบบฝึกหัดท้ายบทที่ 2,40,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 7 (โมเมนตัมและการชน)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 7 (โมเมนตัมและการชน),Numerical Input Problem,131,1
บทที่ 7: โมเมนตัมและ การชน,121,1,"Name: องค์ประกอบของเวกเตอร์<br>
Video Length: 489 sec",องค์ประกอบของเวกเตอร์,489,19,1,เอกสารประกอบการเรียน บทที่ 2-1,41,1,,,,"Name: แบบทดสอบความรู้หลังเรียน บทที่ 1-7<br>
Problem Type: Numerical Input Problem",แบบทดสอบความรู้หลังเรียน บทที่ 1-7,Numerical Input Problem,135,1
แบบทดสอบความรู้หลังเรียน บทที่ 1-7,134,1,"Name: 2.4 การหาขนาดของเวกเตอร์ และการบวกลบเวกเตอร์โดยใช้องค์ประกอบของเวกเตอร์<br>
Video Length: 292 sec",2.4 การหาขนาดของเวกเตอร์ และการบวกลบเวกเตอร์โดยใช้องค์ประกอบของเวกเตอร์,292,20,1,เอกสารประกอบการเรียนบทที่ 2-2,42,1,,,,"Name: แบบทดสอบความรู้ก่อนเรียน บทที่ 8-13<br>
Problem Type: Numerical Input Problem",แบบทดสอบความรู้ก่อนเรียน บทที่ 8-13,Numerical Input Problem,138,1
