chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
แนะนำโครงการ ThaiMOOC,1,1,"Name: โครงการ ThaiMOOC<br>
Video Length: 105 sec",โครงการ ThaiMOOC,105,2,1,วัตถุประสงค์การเรียนรู้ และการประเมินผล,5,1,คุณคือใคร?,4,1,"Name: ประเมินตนเองก่อนเรียน 1<br>
Problem Type: Multiple Choice Problem",ประเมินตนเองก่อนเรียน 1,Multiple Choice Problem,7,1
ทักทายกันก่อนเรียน,3,1,"Name: การออกแบบผลิตภัณฑ์ สำคัญต่อผู้ประกอบการอย่างไร ?<br>
Video Length: 615 sec",การออกแบบผลิตภัณฑ์ สำคัญต่อผู้ประกอบการอย่างไร ?,615,8,1,แบบประเมินตนเองก่อนเรียน 2,17,1,คำถาม,60,1,"Name: ประเมินตนเองหลังเรียน 1<br>
Problem Type: Multiple Choice Problem",ประเมินตนเองหลังเรียน 1,Multiple Choice Problem,15,1
จะเริ่มต้นออกแบบผลิตภัณฑ์อย่างไร,6,1,"Name: ปัจจัยสำคัญที่จะประสบความสำเร็จในการพัฒนาผลิตภัณฑ์<br>
Video Length: 510 sec",ปัจจัยสำคัญที่จะประสบความสำเร็จในการพัฒนาผลิตภัณฑ์,510,9,1,แบบประเมินตนเองหลังเรียน 2,26,1,,,,"Name: แบบประเมินตนเองก่อนเรียน 2<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองก่อนเรียน 2,Multiple Choice Problem,17,1
หลักการออกแบบผลิตภัณฑ์,16,1,"Name: กรณีศึกษาการออกแบบผลิตภัณฑ์<br>
Video Length: 273 sec",กรณีศึกษาการออกแบบผลิตภัณฑ์,273,10,1,หนังสือดี ๆ น่าอ่าน,27,1,,,,"Name: แบบประเมินตนเองหลังเรียน 2<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองหลังเรียน 2,Multiple Choice Problem,26,1
กระบวนการออกแบบผลิตภัณฑ์,28,1,"Name: เริ่มต้นคิดอย่างนักออกแบบ ทำอย่างไร ?<br>
Video Length: 358 sec",เริ่มต้นคิดอย่างนักออกแบบ ทำอย่างไร ?,358,11,1,แบบประเมินตนเองก่อนเรียน 3,29,1,,,,"Name: แบบประเมินตนเองก่อนเรียน 3<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองก่อนเรียน 3,Multiple Choice Problem,29,1
ผลิตภัณฑ์ 3 มิติ,39,1,"Name: วงจรชีวิตผลิตภัณฑ์กับการออกแบบผลิตภัณฑ์<br>
Video Length: 554 sec",วงจรชีวิตผลิตภัณฑ์กับการออกแบบผลิตภัณฑ์,554,12,1,แบบประเมินตนเองหลังเรียน 3,38,1,,,,"Name: แบบประเมินตนเองหลังเรียน 3<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองหลังเรียน 3,Multiple Choice Problem,38,1
ข้อกำหนด กฎระเบียบในการออกแบบบรรจุภัณฑ์,49,1,"Name: ประเภทของผลิตภัณฑ์ที่ควรรู้<br>
Video Length: 592 sec",ประเภทของผลิตภัณฑ์ที่ควรรู้,592,13,1,แบบประเมินตนเองก่อนเรียน 5,50,1,,,,"Name: แบบประเมินตนเองก่อนเรียน 4<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองก่อนเรียน 4,Multiple Choice Problem,40,1
เอกสารอ่านเพิ่มเติม,57,1,"Name: สายผลิตภัณฑ์ สำคัญอย่างไร ?<br>
Video Length: 473 sec",สายผลิตภัณฑ์ สำคัญอย่างไร ?,473,14,1,แบบประเมินตนเองหลังเรียน 5,56,1,,,,"Name: แบบประเมินตนเองหลังเรียน 4<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองหลังเรียน 4,Multiple Choice Problem,48,1
คำถามท้ายบทเรียน,59,1,"Name: หลักการสำคัญในการออกแบบผลิตภัณฑ์<br>
Video Length: 354 sec",หลักการสำคัญในการออกแบบผลิตภัณฑ์,354,18,1,เอกสาร,58,1,,,,"Name: แบบประเมินตนเองก่อนเรียน 5<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองก่อนเรียน 5,Multiple Choice Problem,50,1
แบบวัดความพึงพอใจ,61,1,"Name: ปัจจัยที่ต้องคำนึงถึงในการออกแบบผลิตภัณฑ์<br>
Video Length: 523 sec",ปัจจัยที่ต้องคำนึงถึงในการออกแบบผลิตภัณฑ์,523,19,1,แบบวัดความพึงพอใจ,62,1,,,,"Name: แบบประเมินตนเองหลังเรียน 5<br>
Problem Type: Multiple Choice Problem",แบบประเมินตนเองหลังเรียน 5,Multiple Choice Problem,56,1
แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),63,1,"Name: หลักการออกแบบผลิตภัณฑ์ตามลักษณะของผลิตภัณฑ์<br>
Video Length: 175 sec",หลักการออกแบบผลิตภัณฑ์ตามลักษณะของผลิตภัณฑ์,175,20,1,แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),64,1,,,,,,,,
,,,"Name: มารู้จัก Universal Design<br>
Video Length: 309 sec",มารู้จัก Universal Design,309,21,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการออกแบบ Universal Design สภาพแวดล้อม<br>
Video Length: 609 sec",ตัวอย่างการออกแบบ Universal Design สภาพแวดล้อม,609,22,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการออกแบบ Universal Design เกี่ยวกับผู้สูงอายุ ตอนที่ 1<br>
Video Length: 379 sec",ตัวอย่างการออกแบบ Universal Design เกี่ยวกับผู้สูงอายุ ตอนที่ 1,379,23,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการออกแบบ Universal Design เกี่ยวกับผู้สูงอายุ ตอนที่ 2<br>
Video Length: 561 sec",ตัวอย่างการออกแบบ Universal Design เกี่ยวกับผู้สูงอายุ ตอนที่ 2,561,24,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการออกแบบ Universal Design สำหรับคนพิการ<br>
Video Length: 390 sec",ตัวอย่างการออกแบบ Universal Design สำหรับคนพิการ,390,25,1,,,,,,,,,,,
,,,"Name: กระบวนการออกแบบผลิตภัณฑ์<br>
Video Length: 225 sec",กระบวนการออกแบบผลิตภัณฑ์,225,30,1,,,,,,,,,,,
,,,"Name: กระบวนการสำรวจผลิตภัณฑ์ 1<br>
Video Length: 351 sec",กระบวนการสำรวจผลิตภัณฑ์ 1,351,31,1,,,,,,,,,,,
,,,"Name: กระบวนการสำรวจผลิตภัณฑ์ 2<br>
Video Length: 616 sec",กระบวนการสำรวจผลิตภัณฑ์ 2,616,32,1,,,,,,,,,,,
,,,"Name: กระบวนการสำรวจผลิตภัณฑ์ 3<br>
Video Length: 368 sec",กระบวนการสำรวจผลิตภัณฑ์ 3,368,33,1,,,,,,,,,,,
,,,"Name: กระบวนการปฏิบัติการสร้างต้นแบบผลิตภัณฑ์ 1<br>
Video Length: 329 sec",กระบวนการปฏิบัติการสร้างต้นแบบผลิตภัณฑ์ 1,329,34,1,,,,,,,,,,,
,,,"Name: กระบวนการปฏิบัติการสร้างต้นแบบผลิตภัณฑ์ 2<br>
Video Length: 286 sec",กระบวนการปฏิบัติการสร้างต้นแบบผลิตภัณฑ์ 2,286,35,1,,,,,,,,,,,
,,,"Name: กระบวนการปฏิบัติการสร้างต้นแบบผลิตภัณฑ์ 3<br>
Video Length: 265 sec",กระบวนการปฏิบัติการสร้างต้นแบบผลิตภัณฑ์ 3,265,36,1,,,,,,,,,,,
,,,"Name: กระบวนการประเมินผลิตภัณฑ์<br>
Video Length: 414 sec",กระบวนการประเมินผลิตภัณฑ์,414,37,1,,,,,,,,,,,
,,,"Name: การทำต้นแบบผลิตภัณฑ์ สำคัญอย่างไร<br>
Video Length: 428 sec",การทำต้นแบบผลิตภัณฑ์ สำคัญอย่างไร,428,41,1,,,,,,,,,,,
,,,"Name: การทำต้นแบบผลิตภัณฑ์ 3 มิติ<br>
Video Length: 267 sec",การทำต้นแบบผลิตภัณฑ์ 3 มิติ,267,42,1,,,,,,,,,,,
,,,"Name: กระบวนการพิมพ์ 3 มิติ ตอนที่ 1<br>
Video Length: 379 sec",กระบวนการพิมพ์ 3 มิติ ตอนที่ 1,379,43,1,,,,,,,,,,,
,,,"Name: กระบวนการพิมพ์ 3 มิติ ตอนที่ 2<br>
Video Length: 538 sec",กระบวนการพิมพ์ 3 มิติ ตอนที่ 2,538,44,1,,,,,,,,,,,
,,,"Name: กระบวนการพิมพ์ 3 มิติ ตอนที่ 3<br>
Video Length: 298 sec",กระบวนการพิมพ์ 3 มิติ ตอนที่ 3,298,45,1,,,,,,,,,,,
,,,"Name: เครื่องพิมพ์ 3 มิติ ดีอย่างไร ?<br>
Video Length: 137 sec",เครื่องพิมพ์ 3 มิติ ดีอย่างไร ?,137,46,1,,,,,,,,,,,
,,,"Name: เทคโนโลยีด้านการพิมพ์ 3 มิติ<br>
Video Length: 623 sec",เทคโนโลยีด้านการพิมพ์ 3 มิติ,623,47,1,,,,,,,,,,,
,,,"Name: ประโยชน์ของบรรจุภัณฑ์<br>
Video Length: 455 sec",ประโยชน์ของบรรจุภัณฑ์,455,51,1,,,,,,,,,,,
,,,"Name: หลักสำคัญในการออกแบบบรรจุภัณฑ์<br>
Video Length: 543 sec",หลักสำคัญในการออกแบบบรรจุภัณฑ์,543,52,1,,,,,,,,,,,
,,,"Name: การใช้หลักสมดุลในการออกแบบบรรจุภัณฑ์<br>
Video Length: 337 sec",การใช้หลักสมดุลในการออกแบบบรรจุภัณฑ์,337,53,1,,,,,,,,,,,
,,,"Name: กฎ ระเบียบ ในการออกแบบบรรจุภัณฑ์ ตอนที่ 1<br>
Video Length: 432 sec",กฎ ระเบียบ ในการออกแบบบรรจุภัณฑ์ ตอนที่ 1,432,54,1,,,,,,,,,,,
,,,"Name: กฎ ระเบียบ ในการออกแบบบรรจุภัณฑ์ ตอนที่ 2<br>
Video Length: 672 sec",กฎ ระเบียบ ในการออกแบบบรรจุภัณฑ์ ตอนที่ 2,672,55,1,,,,,,,,,,,
