,Unnamed: 0,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster,c_length,Evaluate,Learner Type
2213,2213,Infomation Litercy,nrru001,1472,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2214,2214,Infomation Litercy,nrru001,19052,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2215,2215,Infomation Litercy,nrru001,4673,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2216,2216,Infomation Litercy,nrru001,132279,0.07,0,0,0,0.24,0,Middle,0: Not Pass,0: Sampling
2217,2217,Infomation Litercy,nrru001,1590,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2218,2218,Infomation Litercy,nrru001,70,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2219,2219,Infomation Litercy,nrru001,123331,0.94,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2220,2220,Infomation Litercy,nrru001,132300,0.89,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2221,2221,Infomation Litercy,nrru001,132539,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2222,2222,Infomation Litercy,nrru001,110227,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2223,2223,Infomation Litercy,nrru001,132683,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2224,2224,Infomation Litercy,nrru001,128624,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2225,2225,Infomation Litercy,nrru001,127159,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2226,2226,Infomation Litercy,nrru001,45695,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2227,2227,Infomation Litercy,nrru001,128744,0.91,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2228,2228,Infomation Litercy,nrru001,129779,0.75,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2229,2229,Infomation Litercy,nrru001,16682,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2230,2230,Infomation Litercy,nrru001,45728,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2231,2231,Infomation Litercy,nrru001,21366,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2232,2232,Infomation Litercy,nrru001,132788,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2233,2233,Infomation Litercy,nrru001,132825,0.96,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2234,2234,Infomation Litercy,nrru001,132857,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2235,2235,Infomation Litercy,nrru001,90306,0.92,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2236,2236,Infomation Litercy,nrru001,127442,0.01,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2237,2237,Infomation Litercy,nrru001,52173,0.16,0,0,0,0.47,2,Middle,0: Not Pass,2: Targeting
2238,2238,Infomation Litercy,nrru001,132101,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2239,2239,Infomation Litercy,nrru001,133037,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2240,2240,Infomation Litercy,nrru001,133044,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2241,2241,Infomation Litercy,nrru001,133067,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2242,2242,Infomation Litercy,nrru001,124108,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2243,2243,Infomation Litercy,nrru001,50141,1.0,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2244,2244,Infomation Litercy,nrru001,133073,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2245,2245,Infomation Litercy,nrru001,1922,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2246,2246,Infomation Litercy,nrru001,133479,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2247,2247,Infomation Litercy,nrru001,87151,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2248,2248,Infomation Litercy,nrru001,133659,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2249,2249,Infomation Litercy,nrru001,133700,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2250,2250,Infomation Litercy,nrru001,132699,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2251,2251,Infomation Litercy,nrru001,134174,0.7,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2252,2252,Infomation Litercy,nrru001,128273,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2253,2253,Infomation Litercy,nrru001,22,0.04,0,0,0,0.12,0,Middle,0: Not Pass,0: Sampling
2254,2254,Infomation Litercy,nrru001,3508,0.96,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2255,2255,Infomation Litercy,nrru001,100691,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2256,2256,Infomation Litercy,nrru001,134721,0.68,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2257,2257,Infomation Litercy,nrru001,67169,0.05,0,0,0,0.18,0,Middle,0: Not Pass,0: Sampling
2258,2258,Infomation Litercy,nrru001,134377,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2259,2259,Infomation Litercy,nrru001,135067,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2260,2260,Infomation Litercy,nrru001,135135,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2261,2261,Infomation Litercy,nrru001,129038,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2262,2262,Infomation Litercy,nrru001,8695,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2263,2263,Infomation Litercy,nrru001,135280,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2264,2264,Infomation Litercy,nrru001,130670,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2265,2265,Infomation Litercy,nrru001,88746,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2266,2266,Infomation Litercy,nrru001,135472,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2267,2267,Infomation Litercy,nrru001,20348,0.87,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2268,2268,Infomation Litercy,nrru001,61029,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2269,2269,Infomation Litercy,nrru001,132276,0.66,1,1,1,0.53,2,Middle,1: Pass,2: Targeting
2270,2270,Infomation Litercy,nrru001,79565,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2271,2271,Infomation Litercy,nrru001,111245,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2272,2272,Infomation Litercy,nrru001,135738,0.85,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2273,2273,Infomation Litercy,nrru001,135304,0.48,0,0,0,0.82,1,Middle,0: Not Pass,1: Comprehensive
2274,2274,Infomation Litercy,nrru001,135966,0.71,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2275,2275,Infomation Litercy,nrru001,136212,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2276,2276,Infomation Litercy,nrru001,136215,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2277,2277,Infomation Litercy,nrru001,43565,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2278,2278,Infomation Litercy,nrru001,110815,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2279,2279,Infomation Litercy,nrru001,136705,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2280,2280,Infomation Litercy,nrru001,136717,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2281,2281,Infomation Litercy,nrru001,136614,0.83,1,0,1,1.0,1,Middle,1: Pass,1: Comprehensive
2282,2282,Infomation Litercy,nrru001,136612,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2283,2283,Infomation Litercy,nrru001,7947,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2284,2284,Infomation Litercy,nrru001,88812,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2285,2285,Infomation Litercy,nrru001,137721,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2286,2286,Infomation Litercy,nrru001,6639,0.97,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2287,2287,Infomation Litercy,nrru001,51593,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2288,2288,Infomation Litercy,nrru001,65777,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2289,2289,Infomation Litercy,nrru001,87475,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2290,2290,Infomation Litercy,nrru001,138595,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2291,2291,Infomation Litercy,nrru001,137994,1.0,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2292,2292,Infomation Litercy,nrru001,139548,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2293,2293,Infomation Litercy,nrru001,124291,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2294,2294,Infomation Litercy,nrru001,137870,0.93,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
2295,2295,Infomation Litercy,nrru001,15079,0.14,0,0,0,0.41,2,Middle,0: Not Pass,2: Targeting
2296,2296,Infomation Litercy,nrru001,384,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2297,2297,Infomation Litercy,nrru001,139990,0.02,0,0,0,0.06,0,Middle,0: Not Pass,0: Sampling
2298,2298,Infomation Litercy,nrru001,140136,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2299,2299,Infomation Litercy,nrru001,92635,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2300,2300,Infomation Litercy,nrru001,140517,0.87,1,1,1,0.94,1,Middle,1: Pass,1: Comprehensive
2301,2301,Infomation Litercy,nrru001,140577,0.06,0,0,0,0.24,0,Middle,0: Not Pass,0: Sampling
2302,2302,Infomation Litercy,nrru001,140544,0.08,0,0,0,0.29,2,Middle,0: Not Pass,2: Targeting
2303,2303,Infomation Litercy,nrru001,140529,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2304,2304,Infomation Litercy,nrru001,140761,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2305,2305,Infomation Litercy,nrru001,102478,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2306,2306,Infomation Litercy,nrru001,45233,0.96,1,1,1,0.94,1,Middle,1: Pass,1: Comprehensive
2307,2307,Infomation Litercy,nrru001,3899,0.0,0,0,0,0.0,0,Middle,0: Not Pass,0: Sampling
2308,2308,Infomation Litercy,nrru001,127003,0.92,1,1,1,1.0,1,Middle,1: Pass,1: Comprehensive
