,Unnamed: 0,Course Name,Course Number,Student ID,Grade,Certificate Eligible,Certificate Delivered,Pass,Attempt,learner cluster,c_length,Evaluate,Learner Type
873,873,Product Design for Entrepreneur,stou007,1472,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
874,874,Product Design for Entrepreneur,stou007,3878,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
875,875,Product Design for Entrepreneur,stou007,98705,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
876,876,Product Design for Entrepreneur,stou007,98540,0.0,0,0,0,0.1,0,Short,0: Not Pass,0: Sampling
877,877,Product Design for Entrepreneur,stou007,98710,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
878,878,Product Design for Entrepreneur,stou007,98716,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
879,879,Product Design for Entrepreneur,stou007,96165,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
880,880,Product Design for Entrepreneur,stou007,90306,1.0,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
881,881,Product Design for Entrepreneur,stou007,98749,0.0,0,0,0,0.1,0,Short,0: Not Pass,0: Sampling
882,882,Product Design for Entrepreneur,stou007,98759,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
883,883,Product Design for Entrepreneur,stou007,98767,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
884,884,Product Design for Entrepreneur,stou007,98105,0.95,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
885,885,Product Design for Entrepreneur,stou007,84856,0.95,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
886,886,Product Design for Entrepreneur,stou007,98788,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
887,887,Product Design for Entrepreneur,stou007,61029,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
888,888,Product Design for Entrepreneur,stou007,98861,0.2,0,0,0,0.2,2,Short,0: Not Pass,2: Targeting
889,889,Product Design for Entrepreneur,stou007,98122,1.0,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
890,890,Product Design for Entrepreneur,stou007,98879,0.95,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
891,891,Product Design for Entrepreneur,stou007,97029,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
892,892,Product Design for Entrepreneur,stou007,97026,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
893,893,Product Design for Entrepreneur,stou007,73905,1.0,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
894,894,Product Design for Entrepreneur,stou007,88210,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
895,895,Product Design for Entrepreneur,stou007,97997,1.0,1,1,1,1.0,1,Short,1: Pass,1: Comprehensive
896,896,Product Design for Entrepreneur,stou007,98920,0.0,0,0,0,0.1,0,Short,0: Not Pass,0: Sampling
897,897,Product Design for Entrepreneur,stou007,98936,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
898,898,Product Design for Entrepreneur,stou007,89470,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
899,899,Product Design for Entrepreneur,stou007,71777,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
900,900,Product Design for Entrepreneur,stou007,616,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
901,901,Product Design for Entrepreneur,stou007,3414,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
902,902,Product Design for Entrepreneur,stou007,98987,0.0,0,0,0,0.0,0,Short,0: Not Pass,0: Sampling
903,903,Product Design for Entrepreneur,stou007,61014,0.0,0,0,0,0.1,0,Short,0: Not Pass,0: Sampling
904,904,Product Design for Entrepreneur,stou007,46811,0.0,0,0,0,0.1,0,Short,0: Not Pass,0: Sampling
